[ 2024-06-30 20:52:49,016  27 COMPONENTS - INFO - starting the Data Ingestion]
[ 2024-06-30 20:52:49,019  33 COMPONENTS - INFO - Ingestion ended .... HURRAY]
[ 2024-06-30 20:52:49,019  37 COMPONENTS - INFO - Saving the Data into Artifacts Folder]
[ 2024-06-30 20:52:49,023  44 COMPONENTS - INFO - Saving of Data Finished]
[ 2024-06-30 20:52:49,023  27 COMPONENTS - INFO - Reading the Data Provided by Ingestion]
[ 2024-06-30 20:52:49,024  32 COMPONENTS - INFO - Reading of Data Provided by Ingestion COMPLETED]
[ 2024-06-30 20:52:49,024  33 COMPONENTS - INFO - Checking numerical and categorical features in data]
[ 2024-06-30 20:52:49,025  38 COMPONENTS - INFO - NUMERICAL FEATURES ARE - ['reading_score', 'writing_score']. And CATEGORICAL FEATURES ARE - ['gender', 'race_ethnicity', 'parental_level_of_education', 'lunch', 'test_preparation_course']]
[ 2024-06-30 20:52:49,025  49 COMPONENTS - INFO - Transformation beginning]
[ 2024-06-30 20:52:49,029  56 COMPONENTS - INFO - Transformation completed]
[ 2024-06-30 20:52:49,029  57 COMPONENTS - INFO - Creating the pickle file for preprocessor]
