[ 2024-06-30 21:35:37,066  27 COMPONENTS - INFO - starting the Data Ingestion]
[ 2024-06-30 21:35:37,073  33 COMPONENTS - INFO - Ingestion ended .... HURRAY]
[ 2024-06-30 21:35:37,073  37 COMPONENTS - INFO - Saving the Data into Artifacts Folder]
[ 2024-06-30 21:35:37,077  44 COMPONENTS - INFO - Saving of Data Finished]
[ 2024-06-30 21:35:37,077  28 COMPONENTS - INFO - Reading the Data Provided by Ingestion]
[ 2024-06-30 21:35:37,078  33 COMPONENTS - INFO - Reading of Data Provided by Ingestion COMPLETED]
[ 2024-06-30 21:35:37,078  34 COMPONENTS - INFO - Checking numerical and categorical features in data]
[ 2024-06-30 21:35:37,078  39 COMPONENTS - INFO - NUMERICAL FEATURES ARE - ['reading_score', 'writing_score']. And CATEGORICAL FEATURES ARE - ['gender', 'race_ethnicity', 'parental_level_of_education', 'lunch', 'test_preparation_course']]
[ 2024-06-30 21:35:37,078  50 COMPONENTS - INFO - Transformation beginning]
[ 2024-06-30 21:35:37,083  57 COMPONENTS - INFO - Transformation completed]
[ 2024-06-30 21:35:37,083  58 COMPONENTS - INFO - Creating the pickle file for preprocessor]
[ 2024-06-30 21:35:37,083  63 COMPONENTS - INFO - Dumped the pickle file in Artifacts Folder]
[ 2024-06-30 21:35:37,083  64 COMPONENTS - INFO - Saving X_train_transformed X_test_transformed into Artifacts Folder]
[ 2024-06-30 21:35:37,090  69 COMPONENTS - INFO - Both CSV files Saved]
